Section,Title,Data
Churn Analysis,"churnRate","0"
Churn Analysis,"retentionRate","100"
Churn Analysis,"customerLifetimeValue","17988"
Churn by Plan,"Churn by Plan","Starter","0","100"
Churn by Plan,"Churn by Plan","Growth","0","100"
Churn by Plan,"Churn by Plan","Dominate","0","100"
Churn by Plan,"Churn by Plan","Starter Annual","0","100"
Churn by Plan,"Churn by Plan","Growth Annual","0","100"
Churn by Plan,"Churn by Plan","Dominate Annual","0","100"
Churn by Plan,"Churn by Plan","Basic Plan","0","100"
Churn by Plan,"Churn by Plan","Premium Plan","0","100"
Churn by Plan,"Churn by Plan","Enterprise Plan","0","100"
Churn by Plan,"Churn by Plan","Basic Plan","0","100"
Churn by Plan,"Churn by Plan","Premium Plan","0","100"
Churn by Plan,"Churn by Plan","Enterprise Plan","0","100"
Churn by Plan,"Churn by Plan","Premium Plan","0","100"
Churn by Plan,"Churn by Plan","Basic Plan","0","100"
Churn by Plan,"Churn by Plan","Enterprise Plan","0","100"
