Section,Title,Data
Churn Analysis,"churnRate","0"
Churn Analysis,"retentionRate","100"
Churn Analysis,"customerLifetimeValue","16488"
Churn by Plan,"Churn by Plan","Basic Plan","0","100"
Churn by Plan,"Churn by Plan","Premium Plan","0","100"
Churn by Plan,"Churn by Plan","Enterprise Plan","0","100"
Churn by Plan,"Churn by Plan","Test Plan","0","100"
Churn by Plan,"Churn by Plan","Basic Plan","0","100"
Churn by Plan,"Churn by Plan","Premium Plan","0","100"
Churn by Plan,"Churn by Plan","Enterprise Plan","0","100"
Churn by Plan,"Churn by Plan","Basic Plan","0","100"
Churn by Plan,"Churn by Plan","Premium Plan","0","100"
Churn by Plan,"Churn by Plan","Enterprise Plan","0","100"
Churn by Plan,"Churn by Plan","Basic Plan","0","100"
Churn by Plan,"Churn by Plan","Premium Plan","0","100"
Churn by Plan,"Churn by Plan","Enterprise Plan","0","100"
